"SuccessfulBool","goal","pledged","staff_pick","backers_count","name_len","name_len_clean","blurb_len","blurb_len_clean","deadline","state_changed_at","created_at","launched_at","deadline_month","deadline_day","deadline_yr","deadline_hr","state_changed_at_month","state_changed_at_day","state_changed_at_yr","state_changed_at_hr","created_at_month","created_at_day","created_at_yr","created_at_hr","launched_at_month","launched_at_day","launched_at_yr","launched_at_hr"
0,1700,0,0,0,3,3,19,19,"2017-01-07 08:55:47","2017-01-07 08:55:47","2017-01-02 05:27:14","2017-01-02 08:55:47",1,7,2017,8,1,7,2017,8,1,2,2017,5,1,2,2017,8
0,10000,380,0,7,5,5,22,13,"2015-06-01 13:10:03","2015-06-01 13:10:07","2015-03-20 08:07:49","2015-04-17 13:10:03",6,1,2015,13,6,1,2015,13,3,20,2015,8,4,17,2015,13
0,12000,0,0,0,3,3,15,10,"2015-12-19 17:46:05","2015-12-19 17:46:05","2015-10-31 17:11:45","2015-11-04 17:46:05",12,19,2015,17,12,19,2015,17,10,31,2015,17,11,4,2015,17
0,50000,0,0,0,5,5,9,7,"2015-05-01 14:37:14","2015-05-01 14:37:14","2015-03-26 09:57:11","2015-04-01 14:37:14",5,1,2015,14,5,1,2015,14,3,26,2015,9,4,1,2015,14
0,20000,0,0,0,1,1,20,15,"2017-02-03 13:00:00","2017-02-03 13:00:01","2017-01-02 20:33:34","2017-01-02 21:08:08",2,3,2017,13,2,3,2017,13,1,2,2017,20,1,2,2017,21
0,30000,1,0,1,6,5,18,12,"2014-09-09 03:08:27","2014-09-09 03:08:27","2014-08-07 05:10:19","2014-08-10 03:08:27",9,9,2014,3,9,9,2014,3,8,7,2014,5,8,10,2014,3
0,48000,20,0,1,3,3,18,17,"2015-10-03 18:05:27","2015-10-03 18:05:28","2015-07-23 12:11:09","2015-08-04 18:05:27",10,3,2015,18,10,3,2015,18,7,23,2015,12,8,4,2015,18
0,2080,0,0,0,12,7,19,15,"2015-01-16 16:06:00","2015-01-16 16:06:00","2014-11-17 13:28:12","2014-12-16 09:13:02",1,16,2015,16,1,16,2015,16,11,17,2014,13,12,16,2014,9
0,500,0,0,0,10,5,25,15,"2014-08-28 21:31:43","2014-08-28 21:31:43","2014-07-28 12:57:15","2014-07-29 21:31:43",8,28,2014,21,8,28,2014,21,7,28,2014,12,7,29,2014,21
0,2000,60,0,3,2,2,19,13,"2014-07-27 14:03:00","2014-07-27 14:03:00","2014-05-17 02:23:17","2014-05-28 14:03:00",7,27,2014,14,7,27,2014,14,5,17,2014,2,5,28,2014,14
0,250,20,0,1,5,5,22,16,"2014-06-22 13:55:34","2014-06-22 13:55:34","2014-05-27 09:39:14","2014-05-28 13:55:34",6,22,2014,13,6,22,2014,13,5,27,2014,9,5,28,2014,13
0,3000,25,0,2,5,4,11,10,"2016-04-12 16:35:09","2016-04-12 16:35:10","2016-03-11 11:18:41","2016-03-13 16:35:09",4,12,2016,16,4,12,2016,16,3,11,2016,11,3,13,2016,16
0,250,5,0,1,5,4,22,13,"2016-07-15 15:14:27","2016-07-15 15:14:28","2016-05-27 10:46:24","2016-05-31 15:14:27",7,15,2016,15,7,15,2016,15,5,27,2016,10,5,31,2016,15
0,24000,17520,0,66,8,8,22,14,"2016-04-18 10:43:25","2016-04-18 10:43:26","2016-01-22 06:06:42","2016-03-09 10:43:25",4,18,2016,10,4,18,2016,10,1,22,2016,6,3,9,2016,10
0,2000,256,0,11,6,6,25,12,"2015-11-19 13:30:51","2015-11-19 13:30:51","2015-09-29 23:17:26","2015-10-30 13:30:51",11,19,2015,13,11,19,2015,13,9,29,2015,23,10,30,2015,13
0,495,27,0,2,7,6,18,12,"2016-03-30 12:46:09","2016-03-30 12:46:10","2016-02-29 09:36:21","2016-02-29 12:46:09",3,30,2016,12,3,30,2016,12,2,29,2016,9,2,29,2016,12
0,5275,1635,0,18,8,7,20,15,"2014-07-06 08:58:20","2014-07-06 08:58:20","2014-05-22 08:00:45","2014-06-16 08:58:20",7,6,2014,8,7,6,2014,8,5,22,2014,8,6,16,2014,8
0,5500,1,0,1,2,2,21,14,"2014-12-05 11:10:14","2014-12-05 11:10:15","2014-10-20 04:27:38","2014-10-21 11:10:14",12,5,2014,11,12,5,2014,11,10,20,2014,4,10,21,2014,11
0,4000,56,0,2,5,5,23,14,"2015-05-10 16:09:39","2015-05-10 16:09:40","2013-11-18 17:31:16","2015-03-11 16:09:39",5,10,2015,16,5,10,2015,16,11,18,2013,17,3,11,2015,16
0,3500,0,0,0,3,3,24,14,"2015-06-16 14:14:47","2015-06-16 14:15:11","2015-03-06 10:02:03","2015-04-27 14:14:47",6,16,2015,14,6,16,2015,14,3,6,2015,10,4,27,2015,14
0,7000,0,0,0,2,2,17,11,"2016-06-07 00:21:36","2016-06-07 00:21:36","2016-05-23 23:07:44","2016-05-24 00:21:36",6,7,2016,0,6,7,2016,0,5,23,2016,23,5,24,2016,0
0,1280,21,0,4,5,4,22,16,"2014-12-12 13:52:52","2014-12-12 13:52:52","2014-08-28 23:07:44","2014-11-12 13:52:52",12,12,2014,13,12,12,2014,13,8,28,2014,23,11,12,2014,13
0,20000,61,0,4,10,8,20,13,"2016-01-16 20:53:41","2016-01-16 20:53:41","2015-12-16 20:43:00","2015-12-17 20:53:41",1,16,2016,20,1,16,2016,20,12,16,2015,20,12,17,2015,20
0,3000,1,0,1,1,1,22,12,"2016-08-13 20:13:47","2016-08-13 20:13:47","2016-07-14 19:23:37","2016-07-14 20:13:47",8,13,2016,20,8,13,2016,20,7,14,2016,19,7,14,2016,20
0,4500,690,0,35,2,2,27,12,"2015-04-09 18:00:00","2015-04-09 18:00:28","2014-02-27 01:41:09","2015-03-11 22:58:55",4,9,2015,18,4,9,2015,18,2,27,2014,1,3,11,2015,22
0,5000,0,0,0,4,4,23,14,"2014-11-17 03:12:05","2014-11-17 03:12:08","2014-08-29 01:38:34","2014-09-18 03:12:05",11,17,2014,3,11,17,2014,3,8,29,2014,1,9,18,2014,3
0,450,31,0,6,2,2,25,16,"2014-08-06 11:09:05","2014-08-06 11:09:05","2014-07-05 14:18:04","2014-07-07 11:09:05",8,6,2014,11,8,6,2014,11,7,5,2014,14,7,7,2014,11
0,9000,44,0,4,6,6,21,17,"2016-04-19 07:13:10","2016-04-19 07:13:12","2016-03-20 05:58:45","2016-03-20 07:13:10",4,19,2016,7,4,19,2016,7,3,20,2016,5,3,20,2016,7
0,500,300,0,2,7,5,23,15,"2014-08-31 22:59:00","2014-08-31 22:59:01","2014-07-21 20:40:37","2014-07-27 11:27:42",8,31,2014,22,8,31,2014,22,7,21,2014,20,7,27,2014,11
0,15000,80,0,1,6,6,25,16,"2015-06-12 17:52:33","2015-06-12 17:52:36","2015-04-28 13:15:05","2015-04-28 17:52:33",6,12,2015,17,6,12,2015,17,4,28,2015,13,4,28,2015,17
0,1000,13,0,2,8,5,20,11,"2015-07-24 20:48:37","2015-07-24 20:48:37","2015-06-23 00:21:12","2015-06-24 20:48:37",7,24,2015,20,7,24,2015,20,6,23,2015,0,6,24,2015,20
0,5000,1,0,1,4,4,22,13,"2015-03-23 15:51:11","2015-03-23 15:51:12","2015-01-05 11:21:53","2015-01-22 15:51:11",3,23,2015,15,3,23,2015,15,1,5,2015,11,1,22,2015,15
0,500,11,0,2,4,2,13,7,"2015-01-10 10:02:12","2015-01-10 10:02:13","2014-12-01 18:19:10","2014-12-11 10:02:12",1,10,2015,10,1,10,2015,10,12,1,2014,18,12,11,2014,10
0,1200,477,0,10,5,5,19,14,"2014-07-30 11:36:00","2014-07-30 11:36:00","2014-06-27 11:36:58","2014-06-28 07:52:45",7,30,2014,11,7,30,2014,11,6,27,2014,11,6,28,2014,7
0,1000,25,0,1,3,3,19,13,"2014-08-09 02:02:09","2014-08-09 02:02:09","2014-07-05 21:23:28","2014-07-10 02:02:09",8,9,2014,2,8,9,2014,2,7,5,2014,21,7,10,2014,2
0,1000,0,0,0,3,2,22,13,"2014-09-04 23:57:59","2014-09-04 23:57:59","2014-08-04 22:54:43","2014-08-05 23:57:59",9,4,2014,23,9,4,2014,23,8,4,2014,22,8,5,2014,23
0,5000,1,0,1,9,8,24,15,"2014-12-11 10:45:23","2014-12-11 10:45:23","2014-08-06 10:50:19","2014-11-11 10:45:23",12,11,2014,10,12,11,2014,10,8,6,2014,10,11,11,2014,10
0,1000,58,0,14,3,3,20,11,"2014-08-10 12:16:36","2014-08-10 12:16:40","2013-11-26 13:10:34","2014-07-01 12:16:36",8,10,2014,12,8,10,2014,12,11,26,2013,13,7,1,2014,12
0,350,11,0,2,9,6,24,15,"2014-10-31 15:27:30","2014-10-31 15:27:30","2014-08-22 13:40:26","2014-09-01 15:27:30",10,31,2014,15,10,31,2014,15,8,22,2014,13,9,1,2014,15
0,1500,120,0,3,5,5,11,8,"2014-09-08 13:07:20","2014-09-08 13:07:20","2014-07-30 10:57:49","2014-08-09 13:07:20",9,8,2014,13,9,8,2014,13,7,30,2014,10,8,9,2014,13
0,2988,242,0,3,9,6,22,13,"2015-03-10 16:09:51","2015-03-10 16:09:52","2015-01-11 18:36:18","2015-02-08 16:09:51",3,10,2015,16,3,10,2015,16,1,11,2015,18,2,8,2015,16
0,1500,90,0,6,6,4,16,12,"2015-09-11 14:34:36","2015-09-11 14:34:39","2015-08-12 13:44:10","2015-08-12 14:34:36",9,11,2015,14,9,11,2015,14,8,12,2015,13,8,12,2015,14
0,1000,25,0,1,2,2,16,12,"2015-06-26 04:18:19","2015-06-26 04:18:20","2015-05-27 03:52:51","2015-05-27 04:18:19",6,26,2015,4,6,26,2015,4,5,27,2015,3,5,27,2015,4
0,2000,0,0,0,4,3,16,10,"2014-07-22 01:59:00","2014-07-22 01:59:00","2014-07-05 16:17:04","2014-07-07 11:41:48",7,22,2014,1,7,22,2014,1,7,5,2014,16,7,7,2014,11
0,94000,25,0,1,3,3,20,12,"2014-12-04 15:58:00","2014-12-04 15:58:00","2014-08-18 15:33:09","2014-10-30 16:19:28",12,4,2014,15,12,4,2014,15,8,18,2014,15,10,30,2014,16
0,3500,1,0,1,3,3,22,14,"2015-03-20 17:44:50","2015-03-20 17:45:13","2015-02-23 09:30:04","2015-02-23 17:44:50",3,20,2015,17,3,20,2015,17,2,23,2015,9,2,23,2015,17
0,2500,87,0,4,4,3,20,15,"2016-03-28 22:48:22","2016-03-28 22:48:22","2016-02-17 23:38:16","2016-03-14 22:48:22",3,28,2016,22,3,28,2016,22,2,17,2016,23,3,14,2016,22
0,5000,150,0,2,7,7,26,16,"2016-03-01 23:00:00","2016-03-01 23:00:02","2016-01-18 13:41:48","2016-01-21 15:35:20",3,1,2016,23,3,1,2016,23,1,18,2016,13,1,21,2016,15
0,7500,0,0,0,6,4,17,13,"2014-08-26 01:09:07","2014-08-26 01:09:07","2014-07-12 00:31:38","2014-07-12 01:09:07",8,26,2014,1,8,26,2014,1,7,12,2014,0,7,12,2014,1
0,650,0,0,0,8,6,23,11,"2016-06-03 09:34:18","2016-06-03 09:34:18","2016-04-24 04:37:55","2016-04-24 09:34:18",6,3,2016,9,6,3,2016,9,4,24,2016,4,4,24,2016,9
0,10000,10,0,1,3,3,14,8,"2015-01-29 00:00:00","2015-01-29 00:00:16","2015-01-20 21:13:50","2015-01-22 23:18:12",1,29,2015,0,1,29,2015,0,1,20,2015,21,1,22,2015,23
0,300,6,0,2,4,3,17,9,"2014-11-21 15:27:52","2014-11-21 15:27:52","2014-10-22 12:52:57","2014-10-22 15:27:52",11,21,2014,15,11,21,2014,15,10,22,2014,12,10,22,2014,15
0,10000,35,0,7,2,2,28,16,"2014-07-06 04:42:57","2014-07-06 04:42:58","2014-05-14 01:29:53","2014-05-17 04:42:57",7,6,2014,4,7,6,2014,4,5,14,2014,1,5,17,2014,4
0,50,0,0,0,4,4,16,9,"2015-04-16 13:04:20","2015-04-16 13:04:24","2015-03-06 23:19:33","2015-03-07 13:04:20",4,16,2015,13,4,16,2015,13,3,6,2015,23,3,7,2015,13
0,2e+05,150,0,2,10,9,10,8,"2015-04-27 16:56:59","2015-04-27 16:57:00","2015-03-06 02:20:12","2015-03-13 16:56:59",4,27,2015,16,4,27,2015,16,3,6,2015,2,3,13,2015,16
0,1500,10,0,1,8,6,30,16,"2014-08-11 10:09:04","2014-08-11 10:09:04","2014-07-11 11:58:16","2014-07-12 10:09:04",8,11,2014,10,8,11,2014,10,7,11,2014,11,7,12,2014,10
0,5000,85,0,1,5,5,26,14,"2015-08-22 18:12:36","2015-08-22 18:12:40","2014-09-21 02:37:42","2015-07-23 18:12:36",8,22,2015,18,8,22,2015,18,9,21,2014,2,7,23,2015,18
0,200,6,0,2,4,4,12,9,"2015-02-04 23:04:14","2015-02-04 23:04:15","2015-01-05 22:07:37","2015-01-05 23:04:14",2,4,2015,23,2,4,2015,23,1,5,2015,22,1,5,2015,23
0,2800,0,0,0,6,6,27,16,"2015-08-17 19:00:00","2015-08-17 19:00:13","2015-07-17 12:20:08","2015-07-19 23:38:37",8,17,2015,19,8,17,2015,19,7,17,2015,12,7,19,2015,23
0,25000,1866,0,21,4,3,19,11,"2016-02-13 12:03:51","2016-02-13 12:03:52","2015-06-21 13:25:39","2016-01-14 12:03:51",2,13,2016,12,2,13,2016,12,6,21,2015,13,1,14,2016,12
0,19778,42,0,5,3,3,11,11,"2014-12-01 07:59:07","2014-12-01 07:59:09","2014-10-24 18:50:29","2014-10-27 07:59:07",12,1,2014,7,12,1,2014,7,10,24,2014,18,10,27,2014,7
0,15350,190,0,4,8,7,21,15,"2014-11-10 00:02:36","2014-11-10 00:02:36","2014-09-28 15:15:22","2014-10-10 00:02:36",11,10,2014,0,11,10,2014,0,9,28,2014,15,10,10,2014,0
0,50000,1,0,1,6,3,16,8,"2014-09-13 22:40:38","2014-09-13 22:40:38","2014-07-15 21:44:14","2014-07-15 22:40:38",9,13,2014,22,9,13,2014,22,7,15,2014,21,7,15,2014,22
0,25000,6,0,2,2,2,23,15,"2016-05-14 18:17:27","2016-05-14 18:17:28","2016-04-14 13:45:16","2016-04-14 18:17:27",5,14,2016,18,5,14,2016,18,4,14,2016,13,4,14,2016,18
0,1000,310,0,2,4,4,15,11,"2014-10-09 16:58:24","2014-10-09 16:58:24","2014-08-09 11:31:43","2014-08-25 16:58:24",10,9,2014,16,10,9,2014,16,8,9,2014,11,8,25,2014,16
0,10,0,0,0,10,6,19,10,"2014-09-08 10:59:41","2014-09-08 11:00:10","2014-08-06 09:34:10","2014-08-09 10:59:41",9,8,2014,10,9,8,2014,11,8,6,2014,9,8,9,2014,10
0,1195,272,0,1,7,7,19,15,"2014-07-15 11:47:09","2014-07-15 11:47:09","2014-07-01 10:51:01","2014-07-08 11:47:09",7,15,2014,11,7,15,2014,11,7,1,2014,10,7,8,2014,11
0,1000,0,0,0,7,3,25,14,"2014-08-12 12:37:59","2014-08-12 12:37:59","2014-07-08 11:04:55","2014-07-11 12:37:59",8,12,2014,12,8,12,2014,12,7,8,2014,11,7,11,2014,12
0,20000,0,0,0,3,2,25,14,"2015-01-01 14:58:49","2015-01-01 14:58:49","2014-11-30 17:56:42","2014-12-02 14:58:49",1,1,2015,14,1,1,2015,14,11,30,2014,17,12,2,2014,14
0,3200,1,0,1,4,4,13,8,"2014-10-11 15:38:25","2014-10-11 15:38:26","2014-08-14 17:33:48","2014-09-11 15:38:25",10,11,2014,15,10,11,2014,15,8,14,2014,17,9,11,2014,15
0,8000,0,0,0,3,3,21,15,"2017-01-20 13:17:10","2017-01-20 13:17:10","2016-11-17 11:16:19","2016-11-21 13:17:10",1,20,2017,13,1,20,2017,13,11,17,2016,11,11,21,2016,13
0,400,30,0,1,8,7,20,14,"2015-04-24 15:38:18","2015-04-24 15:38:22","2015-03-02 14:53:14","2015-03-25 15:38:18",4,24,2015,15,4,24,2015,15,3,2,2015,14,3,25,2015,15
0,9000,25,0,1,2,2,13,8,"2015-04-14 22:49:40","2015-04-14 22:49:42","2015-03-15 22:01:41","2015-03-15 22:49:40",4,14,2015,22,4,14,2015,22,3,15,2015,22,3,15,2015,22
0,28500,750,0,8,4,4,18,12,"2016-07-11 10:17:00","2016-07-11 10:17:02","2014-07-01 09:18:28","2016-06-03 10:55:44",7,11,2016,10,7,11,2016,10,7,1,2014,9,6,3,2016,10
0,4500,48,0,2,4,3,19,12,"2015-11-11 11:36:10","2015-11-11 11:36:28","2015-10-10 07:42:23","2015-10-21 11:36:10",11,11,2015,11,11,11,2015,11,10,10,2015,7,10,21,2015,11
0,800,115,0,1,2,2,19,10,"2016-01-27 16:41:03","2016-01-27 16:41:03","2015-12-28 15:10:49","2015-12-28 16:41:03",1,27,2016,16,1,27,2016,16,12,28,2015,15,12,28,2015,16
0,1000,161,0,8,2,2,23,13,"2016-12-04 16:00:22","2016-12-04 16:00:22","2016-10-05 15:07:50","2016-10-05 16:00:22",12,4,2016,16,12,4,2016,16,10,5,2016,15,10,5,2016,16
0,1575,0,0,0,4,3,14,10,"2015-04-09 16:20:45","2015-04-09 16:20:46","2014-11-12 04:28:51","2015-03-10 16:20:45",4,9,2015,16,4,9,2015,16,11,12,2014,4,3,10,2015,16
0,6500,0,0,0,8,8,21,14,"2016-08-01 07:52:00","2016-08-01 07:52:00","2016-07-14 09:32:13","2016-07-18 08:59:05",8,1,2016,7,8,1,2016,7,7,14,2016,9,7,18,2016,8
0,10000,5,0,1,5,4,21,12,"2015-04-08 15:31:38","2015-04-08 15:31:40","2015-03-04 08:27:45","2015-03-09 15:31:38",4,8,2015,15,4,8,2015,15,3,4,2015,8,3,9,2015,15
0,20000,50,0,1,8,6,21,13,"2014-08-21 02:52:00","2014-08-21 02:52:00","2014-07-08 02:52:44","2014-07-21 14:01:08",8,21,2014,2,8,21,2014,2,7,8,2014,2,7,21,2014,14
0,1500,15,0,1,2,2,21,10,"2014-09-26 11:30:37","2014-09-26 11:30:37","2014-07-28 11:03:12","2014-07-28 11:30:37",9,26,2014,11,9,26,2014,11,7,28,2014,11,7,28,2014,11
0,10000,0,0,0,3,3,26,17,"2015-10-01 09:44:19","2015-10-01 09:44:19","2015-07-22 00:10:52","2015-08-02 09:44:19",10,1,2015,9,10,1,2015,9,7,22,2015,0,8,2,2015,9
0,12000,140,0,3,9,7,19,12,"2015-12-10 18:26:32","2015-12-10 18:26:32","2015-11-09 10:00:22","2015-11-10 18:26:32",12,10,2015,18,12,10,2015,18,11,9,2015,10,11,10,2015,18
0,250,25,0,1,4,3,20,14,"2014-05-11 19:30:00","2014-05-11 19:30:12","2014-04-20 19:21:03","2014-04-29 17:51:40",5,11,2014,19,5,11,2014,19,4,20,2014,19,4,29,2014,17
0,700,0,0,0,4,4,9,7,"2015-01-16 16:14:14","2015-01-16 16:15:13","2014-12-27 11:14:26","2015-01-02 16:14:14",1,16,2015,16,1,16,2015,16,12,27,2014,11,1,2,2015,16
0,13600,2901,0,26,6,6,16,12,"2015-07-21 17:49:46","2015-07-21 17:49:47","2015-03-05 12:27:36","2015-06-21 17:49:46",7,21,2015,17,7,21,2015,17,3,5,2015,12,6,21,2015,17
0,10000,100,0,1,3,3,21,15,"2015-06-21 13:04:49","2015-06-21 13:04:52","2015-05-05 20:43:32","2015-05-07 13:04:49",6,21,2015,13,6,21,2015,13,5,5,2015,20,5,7,2015,13
0,500,70,0,2,6,5,14,14,"2015-10-01 09:30:49","2015-10-01 09:30:58","2015-07-31 17:12:54","2015-09-01 09:30:49",10,1,2015,9,10,1,2015,9,7,31,2015,17,9,1,2015,9
0,3000,1092,0,24,4,3,18,10,"2014-06-27 12:46:12","2014-06-27 12:46:12","2012-10-12 15:20:35","2014-05-28 12:46:12",6,27,2014,12,6,27,2014,12,10,12,2012,15,5,28,2014,12
0,8000,10,0,1,2,2,17,14,"2015-12-19 03:10:50","2015-12-19 03:10:50","2015-11-19 00:12:11","2015-11-19 03:10:50",12,19,2015,3,12,19,2015,3,11,19,2015,0,11,19,2015,3
0,10000,51,0,1,9,8,21,14,"2016-02-08 17:23:03","2016-02-08 17:23:03","2016-01-09 14:36:05","2016-01-09 17:23:03",2,8,2016,17,2,8,2016,17,1,9,2016,14,1,9,2016,17
0,2700,161,0,4,5,4,23,14,"2014-06-06 05:47:47","2014-06-06 05:47:49","2014-02-21 10:14:15","2014-05-07 05:47:47",6,6,2014,5,6,6,2014,5,2,21,2014,10,5,7,2014,5
0,3000,0,0,0,2,2,22,13,"2015-03-27 14:42:46","2015-03-27 14:42:49","2015-02-10 14:04:01","2015-02-25 14:42:46",3,27,2015,14,3,27,2015,14,2,10,2015,14,2,25,2015,14
0,8000,790,0,16,4,3,13,9,"2014-09-18 22:30:32","2014-09-18 22:30:32","2014-07-02 17:55:03","2014-08-19 22:30:32",9,18,2014,22,9,18,2014,22,7,2,2014,17,8,19,2014,22
0,1000,5,0,1,3,3,17,14,"2015-12-19 04:46:30","2015-12-19 04:46:30","2015-11-16 02:37:09","2015-11-17 04:46:30",12,19,2015,4,12,19,2015,4,11,16,2015,2,11,17,2015,4
0,1000,93,0,3,4,3,12,8,"2015-10-26 16:20:00","2015-10-26 16:20:00","2015-08-27 15:34:54","2015-08-30 13:57:33",10,26,2015,16,10,26,2015,16,8,27,2015,15,8,30,2015,13
0,20000,15,0,1,7,5,25,14,"2014-09-25 16:43:11","2014-09-25 16:43:11","2014-08-25 09:50:30","2014-08-26 16:43:11",9,25,2014,16,9,25,2014,16,8,25,2014,9,8,26,2014,16
0,1200,0,0,0,4,4,24,17,"2014-05-30 10:35:01","2014-05-30 10:35:01","2014-05-18 14:23:03","2014-05-20 10:35:01",5,30,2014,10,5,30,2014,10,5,18,2014,14,5,20,2014,10
0,2000,1580,0,12,6,6,26,14,"2016-12-25 05:00:00","2016-12-25 05:00:00","2016-12-01 23:21:00","2016-12-03 15:29:28",12,25,2016,5,12,25,2016,5,12,1,2016,23,12,3,2016,15
0,1500,0,0,0,3,3,13,5,"2015-04-04 20:30:22","2015-04-04 20:30:22","2015-03-02 10:53:22","2015-03-05 20:30:22",4,4,2015,20,4,4,2015,20,3,2,2015,10,3,5,2015,20
0,7500,1,0,1,7,7,19,12,"2014-12-13 16:49:25","2014-12-13 16:49:26","2014-11-06 16:19:30","2014-11-13 16:49:25",12,13,2014,16,12,13,2014,16,11,6,2014,16,11,13,2014,16
0,516,0,0,0,5,4,12,7,"2015-01-31 14:12:00","2015-01-31 14:12:01","2014-12-26 14:12:01","2014-12-31 23:59:59",1,31,2015,14,1,31,2015,14,12,26,2014,14,12,31,2014,23
0,1200,0,0,0,7,7,19,8,"2015-10-09 18:38:06","2015-10-09 18:38:07","2015-09-01 15:53:27","2015-09-09 18:38:06",10,9,2015,18,10,9,2015,18,9,1,2015,15,9,9,2015,18
0,60000,1020,0,2,3,3,4,3,"2015-09-23 15:34:24","2015-09-23 15:34:25","2015-08-21 11:36:28","2015-08-24 15:34:24",9,23,2015,15,9,23,2015,15,8,21,2015,11,8,24,2015,15
0,14000,4092,0,92,8,5,25,16,"2016-04-03 11:25:41","2016-04-03 11:25:41","2016-02-29 08:57:51","2016-03-04 11:25:41",4,3,2016,11,4,3,2016,11,2,29,2016,8,3,4,2016,11
0,25,0,0,0,4,3,12,9,"2015-03-27 19:44:45","2015-03-27 19:45:13","2015-02-10 19:17:12","2015-02-10 19:44:45",3,27,2015,19,3,27,2015,19,2,10,2015,19,2,10,2015,19
0,22000,3,0,3,2,2,17,10,"2015-02-28 14:17:35","2015-02-28 14:17:40","2015-01-12 16:31:03","2015-01-29 14:17:35",2,28,2015,14,2,28,2015,14,1,12,2015,16,1,29,2015,14
0,2000,85,0,3,6,6,21,12,"2011-09-03 22:50:24","2011-09-03 22:50:26","2011-07-30 21:45:23","2011-07-30 22:50:24",9,3,2011,22,9,3,2011,22,7,30,2011,21,7,30,2011,22
0,2000,182,0,8,1,1,1,1,"2013-07-18 00:31:00","2013-07-18 00:31:00","2013-06-06 17:04:29","2013-06-15 09:59:26",7,18,2013,0,7,18,2013,0,6,6,2013,17,6,15,2013,9
0,2500,0,0,0,2,2,9,6,"2015-01-15 15:46:12","2015-01-15 15:46:12","2014-12-27 13:17:49","2015-01-08 15:46:12",1,15,2015,15,1,15,2015,15,12,27,2014,13,1,8,2015,15
0,3500,30,0,2,8,8,23,19,"2012-01-09 14:21:13","2012-01-09 14:21:13","2011-12-06 10:54:03","2011-12-10 14:21:13",1,9,2012,14,1,9,2012,14,12,6,2011,10,12,10,2011,14
0,3500,983,0,38,10,8,16,11,"2012-11-29 20:01:32","2012-11-29 20:01:32","2012-10-18 17:35:39","2012-10-30 20:01:32",11,29,2012,20,11,29,2012,20,10,18,2012,17,10,30,2012,20
0,700,273,0,13,6,6,23,10,"2013-04-10 11:02:48","2013-04-10 11:02:48","2013-03-31 22:40:09","2013-04-03 11:02:48",4,10,2013,11,4,10,2013,11,3,31,2013,22,4,3,2013,11
